Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Trap Bar Deadlift",1,50.0,12.0,0,0.0,"","",
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Trap Bar Deadlift",2,70.0,12.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Trap Bar Deadlift",3,70.0,12.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Trap Bar Deadlift",4,70.0,12.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Leg Press",1,180.0,10.0,0,0.0,"",,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Leg Press",2,180.0,10.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Leg Press",3,180.0,10.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Bulgarian Split Squat",1,20.0,12.0,0,0.0,"",,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Bulgarian Split Squat",2,20.0,10.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Leg Curl (Machine)",1,31.5,12.0,0,0.0,"",,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Leg Curl (Machine)",2,31.5,12.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Leg Curl (Machine)",3,31.5,10.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Calf Raise (Plate Loaded)",1,45.0,12.0,0,0.0,"",,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Calf Raise (Plate Loaded)",2,45.0,12.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Calf Raise (Plate Loaded)",3,45.0,12.0,0,0.0,,,
2020-09-08 15:36:24,"Lower Body #1",1h 6min,"Seated Calf Raise (Plate Loaded)",4,45.0,12.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Incline Bench Press (Smith Machine)",1,50.0,12.0,0,0.0,"","",
2020-09-10 18:26:46,"Push",1h 7min,"Incline Bench Press (Smith Machine)",2,70.0,7.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Incline Bench Press (Smith Machine)",3,70.0,5.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Incline Bench Press (Smith Machine)",4,70.0,5.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Bench Press (Dumbbell)",1,35.0,8.0,0,0.0,"",,
2020-09-10 18:26:46,"Push",1h 7min,"Bench Press (Dumbbell)",2,35.0,8.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Bench Press (Dumbbell)",3,35.0,7.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Bench Press (Dumbbell)",4,35.0,7.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,"",,
2020-09-10 18:26:46,"Push",1h 7min,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,,,
2020-09-10 18:26:46,"Push",1h 7min,"Lateral Raise (Dumbbell)",3,10.0,12.0,0,0.0,,,
